ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,Ingredients_list,clean_Ingredients
121,Haircare,Dry Hair,Curly,Inflammation; Dull Appearance,olive oil; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['olive oil honey'],olive oil honey
122,Haircare,Itchy Scalp,Normal,Dark Spots; Scalp Irritation,gram flour; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['gram flour multani mitti'],gram flour multani mitti
123,Haircare,Dry Hair,Curly,Excess Oil; Breakage,aloe vera; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['aloe vera yogurt'],aloe vera yogurt
124,Haircare,Dandruff,Oily,Itching; Excess Oil,olive oil; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['olive oil yogurt'],olive oil yogurt
125,Haircare,Itchy Scalp,Normal,Dull Appearance; Inflammation,gram flour; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['gram flour honey'],gram flour honey
126,Haircare,Split Ends,All,Redness; Excess Oil,multani mitti; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['multani mitti turmeric'],multani mitti turmeric
127,Haircare,Premature Greying,Dry,Redness; Scalp Irritation,papaya; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['papaya green tea'],papaya green tea
128,Skincare,Pigmentation,Combination,Uneven Tone; Flaky Skin,curd; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['curd rose water'],curd rose water
129,Haircare,Hair Fall,Dry,Scalp Irritation; Inflammation,gram flour; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['gram flour aloe vera'],gram flour aloe vera
130,Skincare,Sensitive Skin,Dry,Hair Shedding; Dark Spots,rose water; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['rose water turmeric'],rose water turmeric
131,Haircare,Hair Thinning,Straight,Dark Spots; Roughness,aloe vera; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['aloe vera coconut oil'],aloe vera coconut oil
132,Skincare,Sun Tan,Combination,Itching; Redness,potato juice; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['potato juice coconut oil'],potato juice coconut oil
133,Skincare,Whiteheads,Sensitive,Excess Oil; Breakage,onion juice; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['onion juice honey'],onion juice honey
134,Skincare,Rashes,All,Scalp Irritation; Breakage,rose water; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['rose water banana'],rose water banana
135,Skincare,Sensitive Skin,Combination,Uneven Tone; Dry Texture,olive oil; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['olive oil gram flour'],olive oil gram flour
136,Skincare,Rashes,Combination,Dry Texture; Scalp Irritation,rose water; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['rose water aloe vera'],rose water aloe vera
137,Skincare,Dry Skin,Normal,Excess Oil; Roughness,papaya; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['papaya olive oil'],papaya olive oil
138,Skincare,Pigmentation,Sensitive,Uneven Tone; Itching,olive oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['olive oil egg yolk'],olive oil egg yolk
139,Haircare,Oily Scalp,Dry,Scalp Irritation; Dark Spots,castor oil; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['castor oil honey'],castor oil honey
140,Haircare,Premature Greying,Curly,Inflammation; Flaky Skin,turmeric; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['turmeric multani mitti'],turmeric multani mitti
141,Haircare,Oily Scalp,Normal,Dark Spots; Breakage,potato juice; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['potato juice banana'],potato juice banana
142,Haircare,Premature Greying,Dry,Scalp Irritation; Uneven Tone,onion juice; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['onion juice green tea'],onion juice green tea
143,Haircare,Hair Growth,Straight,Dark Spots; Dull Appearance,yogurt; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['yogurt curd'],yogurt curd
144,Skincare,Acne,Combination,Dull Appearance; Scalp Irritation,egg yolk; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['egg yolk lemon juice'],egg yolk lemon juice
145,Skincare,Blackheads,Dry,Dry Texture; Flaky Skin,fenugreek seeds; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['fenugreek seeds papaya'],fenugreek seeds papaya
146,Haircare,Split Ends,All,Redness; Itching,multani mitti; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['multani mitti egg yolk'],multani mitti egg yolk
147,Haircare,Itchy Scalp,Normal,Excess Oil; Dull Appearance,potato juice; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['potato juice curd'],potato juice curd
148,Skincare,Dry Skin,Sensitive,Breakage; Redness,castor oil; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['castor oil multani mitti'],castor oil multani mitti
149,Skincare,Dark Circles,Sensitive,Dry Texture; Inflammation,yogurt; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['yogurt rose water'],yogurt rose water
150,Haircare,Itchy Scalp,Oily,Breakage; Dark Spots,lemon juice; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['lemon juice yogurt'],lemon juice yogurt
151,Haircare,Dry Hair,Straight,Dark Spots; Excess Oil,olive oil; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['olive oil lemon juice'],olive oil lemon juice
152,Skincare,Sun Tan,All,Dull Appearance; Uneven Tone,neem powder; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['neem powder yogurt'],neem powder yogurt
153,Haircare,Split Ends,Dry,Inflammation; Excess Oil,coconut oil; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['coconut oil turmeric'],coconut oil turmeric
154,Haircare,Hair Thinning,All,Dry Texture; Redness,coconut oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['coconut oil fenugreek seeds'],coconut oil fenugreek seeds
155,Skincare,Blackheads,Oily,Dark Spots; Roughness,honey; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['honey potato juice'],honey potato juice
156,Skincare,Dull Skin,Sensitive,Breakage; Dark Spots,yogurt; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['yogurt turmeric'],yogurt turmeric
157,Haircare,Itchy Scalp,Dry,Uneven Tone; Excess Oil,castor oil; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['castor oil olive oil'],castor oil olive oil
158,Skincare,Wrinkles,Dry,Uneven Tone; Dark Spots,green tea; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['green tea honey'],green tea honey
159,Haircare,Oily Scalp,Dry,Redness; Inflammation,onion juice; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['onion juice olive oil'],onion juice olive oil
160,Skincare,Rashes,Dry,Inflammation; Roughness,neem powder; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['neem powder green tea'],neem powder green tea
161,Skincare,Sensitive Skin,Sensitive,Excess Oil; Flaky Skin,rose water; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['rose water fenugreek seeds'],rose water fenugreek seeds
162,Haircare,Hair Fall,Curly,Dark Spots; Scalp Irritation,honey; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['honey lemon juice'],honey lemon juice
163,Haircare,Split Ends,Dry,Inflammation; Roughness,neem powder; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['neem powder coconut oil'],neem powder coconut oil
164,Haircare,Dandruff,All,Excess Oil; Uneven Tone,neem powder; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['neem powder aloe vera'],neem powder aloe vera
165,Skincare,Acne,Sensitive,Excess Oil; Hair Shedding,olive oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['olive oil fenugreek seeds'],olive oil fenugreek seeds
166,Skincare,Pigmentation,Combination,Dark Spots; Flaky Skin,fenugreek seeds; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['fenugreek seeds banana'],fenugreek seeds banana
167,Haircare,Split Ends,Oily,Hair Shedding; Dark Spots,fenugreek seeds; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['fenugreek seeds lemon juice'],fenugreek seeds lemon juice
168,Skincare,Dry Skin,Combination,Flaky Skin; Roughness,aloe vera; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['aloe vera olive oil'],aloe vera olive oil
169,Skincare,Acne,Dry,Roughness; Flaky Skin,castor oil; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['castor oil yogurt'],castor oil yogurt
170,Haircare,Dandruff,Curly,Flaky Skin; Itching,fenugreek seeds; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['fenugreek seeds gram flour'],fenugreek seeds gram flour
171,Skincare,Pigmentation,Dry,Inflammation; Roughness,gram flour; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['gram flour turmeric'],gram flour turmeric
172,Haircare,Frizzy Hair,Dry,Breakage; Excess Oil,rose water; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['rose water olive oil'],rose water olive oil
173,Haircare,Dandruff,Oily,Breakage; Flaky Skin,honey; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['honey lemon juice'],honey lemon juice
174,Skincare,Blackheads,Combination,Uneven Tone; Redness,olive oil; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['olive oil coconut oil'],olive oil coconut oil
175,Skincare,Dull Skin,Combination,Excess Oil; Inflammation,lemon juice; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['lemon juice aloe vera'],lemon juice aloe vera
176,Skincare,Acne,Normal,Dark Spots; Uneven Tone,potato juice; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['potato juice multani mitti'],potato juice multani mitti
177,Haircare,Hair Fall,Curly,Hair Shedding; Excess Oil,rose water; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['rose water banana'],rose water banana
178,Haircare,Premature Greying,Curly,Uneven Tone; Hair Shedding,papaya; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['papaya honey'],papaya honey
179,Skincare,Rashes,All,Dark Spots; Roughness,curd; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['curd fenugreek seeds'],curd fenugreek seeds
180,Haircare,Itchy Scalp,Normal,Breakage; Hair Shedding,banana; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['banana egg yolk'],banana egg yolk
181,Skincare,Blackheads,All,Roughness; Excess Oil,castor oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['castor oil banana'],castor oil banana
182,Haircare,Hair Growth,All,Roughness; Inflammation,egg yolk; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['egg yolk yogurt'],egg yolk yogurt
183,Haircare,Oily Scalp,Dry,Hair Shedding; Dull Appearance,potato juice; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['potato juice gram flour'],potato juice gram flour
184,Haircare,Itchy Scalp,Oily,Excess Oil; Itching,multani mitti; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['multani mitti green tea'],multani mitti green tea
185,Haircare,Itchy Scalp,Oily,Itching; Scalp Irritation,papaya; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['papaya turmeric'],papaya turmeric
186,Haircare,Split Ends,Dry,Flaky Skin; Excess Oil,coconut oil; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['coconut oil potato juice'],coconut oil potato juice
187,Skincare,Sensitive Skin,Dry,Scalp Irritation; Inflammation,aloe vera; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['aloe vera curd'],aloe vera curd
188,Haircare,Dry Hair,All,Redness; Excess Oil,curd; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['curd lemon juice'],curd lemon juice
189,Skincare,Blackheads,All,Dark Spots; Inflammation,yogurt; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['yogurt olive oil'],yogurt olive oil
190,Skincare,Dull Skin,Sensitive,Itching; Breakage,green tea; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['green tea multani mitti'],green tea multani mitti
191,Haircare,Hair Growth,Oily,Flaky Skin; Dry Texture,olive oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['olive oil aloe vera'],olive oil aloe vera
192,Haircare,Split Ends,All,Excess Oil; Redness,papaya; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['papaya turmeric'],papaya turmeric
193,Haircare,Split Ends,Normal,Itching; Scalp Irritation,turmeric; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['turmeric yogurt'],turmeric yogurt
194,Skincare,Wrinkles,Combination,Hair Shedding; Uneven Tone,fenugreek seeds; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['fenugreek seeds multani mitti'],fenugreek seeds multani mitti
195,Skincare,Oily Skin,Sensitive,Dry Texture; Roughness,rose water; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['rose water coconut oil'],rose water coconut oil
196,Haircare,Hair Thinning,Straight,Hair Shedding; Dark Spots,green tea; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['green tea turmeric'],green tea turmeric
197,Haircare,Hair Thinning,Oily,Uneven Tone; Dark Spots,rose water; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['rose water curd'],rose water curd
198,Haircare,Itchy Scalp,Normal,Inflammation; Breakage,honey; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['honey coconut oil'],honey coconut oil
199,Skincare,Blackheads,All,Flaky Skin; Dark Spots,aloe vera; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['aloe vera potato juice'],aloe vera potato juice
200,Skincare,Wrinkles,Dry,Redness; Flaky Skin,fenugreek seeds; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['fenugreek seeds banana'],fenugreek seeds banana
201,Skincare,Pigmentation,Combination,Itching; Excess Oil,yogurt; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['yogurt green tea'],yogurt green tea
202,Haircare,Oily Scalp,Oily,Itching; Excess Oil,olive oil; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['olive oil curd'],olive oil curd
203,Skincare,Pigmentation,Normal,Inflammation; Uneven Tone,aloe vera; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['aloe vera onion juice'],aloe vera onion juice
204,Haircare,Frizzy Hair,Oily,Dark Spots; Dry Texture,castor oil; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['castor oil turmeric'],castor oil turmeric
205,Skincare,Oily Skin,All,Hair Shedding; Uneven Tone,egg yolk; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['egg yolk onion juice'],egg yolk onion juice
206,Haircare,Itchy Scalp,All,Roughness; Excess Oil,fenugreek seeds; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['fenugreek seeds turmeric'],fenugreek seeds turmeric
207,Haircare,Hair Fall,All,Inflammation; Excess Oil,gram flour; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['gram flour castor oil'],gram flour castor oil
208,Haircare,Dandruff,Straight,Roughness; Inflammation,rose water; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['rose water curd'],rose water curd
209,Haircare,Oily Scalp,Oily,Flaky Skin; Uneven Tone,potato juice; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['potato juice rose water'],potato juice rose water
210,Haircare,Hair Fall,Normal,Roughness; Dark Spots,lemon juice; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['lemon juice honey'],lemon juice honey
211,Haircare,Dandruff,All,Itching; Dry Texture,gram flour; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['gram flour yogurt'],gram flour yogurt
212,Haircare,Premature Greying,All,Uneven Tone; Dry Texture,rose water; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['rose water yogurt'],rose water yogurt
213,Haircare,Hair Thinning,Curly,Inflammation; Itching,neem powder; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['neem powder banana'],neem powder banana
214,Haircare,Hair Fall,Oily,Hair Shedding; Breakage,green tea; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['green tea coconut oil'],green tea coconut oil
215,Skincare,Oily Skin,Dry,Roughness; Excess Oil,yogurt; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['yogurt lemon juice'],yogurt lemon juice
216,Skincare,Sensitive Skin,Oily,Dark Spots; Roughness,honey; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['honey potato juice'],honey potato juice
217,Haircare,Hair Growth,Oily,Flaky Skin; Excess Oil,neem powder; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['neem powder papaya'],neem powder papaya
218,Haircare,Oily Scalp,All,Scalp Irritation; Flaky Skin,potato juice; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['potato juice banana'],potato juice banana
219,Skincare,Open Pores,Combination,Flaky Skin; Excess Oil,rose water; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['rose water castor oil'],rose water castor oil
220,Haircare,Oily Scalp,Dry,Breakage; Flaky Skin,potato juice; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['potato juice rose water'],potato juice rose water
221,Haircare,Frizzy Hair,Normal,Dull Appearance; Breakage,honey; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['honey banana'],honey banana
222,Skincare,Sensitive Skin,Dry,Itching; Breakage,yogurt; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['yogurt egg yolk'],yogurt egg yolk
223,Skincare,Blackheads,Sensitive,Excess Oil; Roughness,rose water; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['rose water coconut oil'],rose water coconut oil
224,Skincare,Open Pores,Oily,Dry Texture; Breakage,banana; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['banana green tea'],banana green tea
225,Skincare,Dark Circles,Combination,Dry Texture; Dull Appearance,potato juice; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['potato juice aloe vera'],potato juice aloe vera
226,Skincare,Rashes,Sensitive,Dull Appearance; Hair Shedding,lemon juice; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['lemon juice olive oil'],lemon juice olive oil
227,Skincare,Open Pores,Dry,Scalp Irritation; Dark Spots,yogurt; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['yogurt castor oil'],yogurt castor oil
228,Skincare,Dry Skin,Sensitive,Breakage; Itching,gram flour; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['gram flour curd'],gram flour curd
229,Haircare,Hair Growth,Normal,Dry Texture; Excess Oil,egg yolk; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['egg yolk fenugreek seeds'],egg yolk fenugreek seeds
230,Haircare,Split Ends,Normal,Inflammation; Excess Oil,neem powder; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['neem powder potato juice'],neem powder potato juice
231,Haircare,Frizzy Hair,Oily,Redness; Dark Spots,green tea; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['green tea fenugreek seeds'],green tea fenugreek seeds
232,Skincare,Wrinkles,Sensitive,Inflammation; Scalp Irritation,turmeric; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['turmeric papaya'],turmeric papaya
233,Haircare,Dry Hair,Curly,Uneven Tone; Inflammation,banana; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['banana fenugreek seeds'],banana fenugreek seeds
234,Skincare,Dry Skin,Normal,Inflammation; Uneven Tone,coconut oil; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['coconut oil onion juice'],coconut oil onion juice
235,Haircare,Itchy Scalp,Curly,Roughness; Uneven Tone,honey; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['honey gram flour'],honey gram flour
236,Haircare,Hair Fall,Straight,Itching; Excess Oil,aloe vera; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['aloe vera papaya'],aloe vera papaya
237,Haircare,Dry Hair,All,Hair Shedding; Inflammation,egg yolk; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['egg yolk green tea'],egg yolk green tea
238,Haircare,Frizzy Hair,Oily,Breakage; Roughness,papaya; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['papaya banana'],papaya banana
239,Skincare,Sensitive Skin,Oily,Redness; Roughness,multani mitti; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['multani mitti coconut oil'],multani mitti coconut oil
240,Skincare,Whiteheads,Combination,Uneven Tone; Scalp Irritation,potato juice; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['potato juice olive oil'],potato juice olive oil
