Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
19-24,Dry,Dry to Normal,No,Dark Circles,Pigmented,vitamin c + licorice extract + niacinamide,8% + 10% + 2%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['vitamin c  licorice extract  niacinamide'],vitamin c  licorice extract  niacinamide
19-24,Dry,Dry to Normal,No,Dark Circles,Vascular,niacinamide + licorice extract + vitamin k,0.5% + 5% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes",['niacinamide  licorice extract  vitamin k'],niacinamide  licorice extract  vitamin k
19-24,Dry,Dry to Normal,No,Dark Spots,General,niacinamide + alpha arbutin + kojic acid,2% + 8% + 5%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration",['niacinamide  alpha arbutin  kojic acid'],niacinamide  alpha arbutin  kojic acid
19-24,Dry,Dry to Normal,No,Dullness,General,green tea extract + lactic acid + vitamin c,5% + 8% + 2%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation",['green tea extract  lactic acid  vitamin c'],green tea extract  lactic acid  vitamin c
19-24,Dry,Dry to Normal,No,Hyperpigmentation,General,licorice extract + niacinamide + tranexamic acid,10% + 0.5% + 5%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation",['licorice extract  niacinamide  tranexamic acid'],licorice extract  niacinamide  tranexamic acid
19-24,Dry,Dry to Normal,No,Open Pores,General,clay + green tea extract + azelaic acid,0.5% + 2% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture",['clay  green tea extract  azelaic acid'],clay  green tea extract  azelaic acid
19-24,Dry,Dry to Normal,No,Redness,General,centella asiatica + green tea extract + aloe vera,1% + 2% + 10%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin",['centella asiatica  green tea extract  aloe vera'],centella asiatica  green tea extract  aloe vera
19-24,Dry,Dry to Normal,No,Sun Tan,General,licorice extract + niacinamide + alpha arbutin,1% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots",['licorice extract  niacinamide  alpha arbutin'],licorice extract  niacinamide  alpha arbutin
19-24,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,willow bark extract + salicylic acid + zinc pca,3% + 5% + 1%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Controls sebum production",['willow bark extract  salicylic acid  zinc pca'],willow bark extract  salicylic acid  zinc pca
19-24,Dry,Dry to Normal,No,Wrinkles,General,retinol + peptides + hyaluronic acid,2% + 1% + 0.5%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin",['retinol  peptides  hyaluronic acid'],retinol  peptides  hyaluronic acid
19-24,Dry,Extreme Dry,Yes,Acne,Comedonal,niacinamide + salicylic acid + green tea extract,5% + 10% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits",['niacinamide  salicylic acid  green tea extract'],niacinamide  salicylic acid  green tea extract
19-24,Dry,Extreme Dry,Yes,Acne,Inflammatory,salicylic acid + benzoyl peroxide + green tea extract,0.5% + 1% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  benzoyl peroxide  green tea extract'],salicylic acid  benzoyl peroxide  green tea extract
19-24,Dry,Extreme Dry,Yes,Acne,Nodular,green tea extract + niacinamide + salicylic acid,8% + 3% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['green tea extract  niacinamide  salicylic acid'],green tea extract  niacinamide  salicylic acid
19-24,Dry,Extreme Dry,Yes,Acne,Cystic,benzoyl peroxide + zinc pca + green tea extract,1% + 3% + 10%,"Kills acne-causing bacteria, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['benzoyl peroxide  zinc pca  green tea extract'],benzoyl peroxide  zinc pca  green tea extract
19-24,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,vitamin c + caffeine + licorice extract,0.5% + 3% + 10%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone",['vitamin c  caffeine  licorice extract'],vitamin c  caffeine  licorice extract
19-24,Dry,Extreme Dry,Yes,Dark Circles,Vascular,vitamin c + hyaluronic acid + licorice extract,1% + 8% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone",['vitamin c  hyaluronic acid  licorice extract'],vitamin c  hyaluronic acid  licorice extract
19-24,Dry,Extreme Dry,Yes,Dark Spots,General,alpha arbutin + licorice extract + kojic acid,10% + 3% + 5%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration",['alpha arbutin  licorice extract  kojic acid'],alpha arbutin  licorice extract  kojic acid
19-24,Dry,Extreme Dry,Yes,Dullness,General,hyaluronic acid + vitamin c + niacinamide,8% + 2% + 10%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['hyaluronic acid  vitamin c  niacinamide'],hyaluronic acid  vitamin c  niacinamide
19-24,Dry,Extreme Dry,Yes,Hyperpigmentation,General,vitamin c + niacinamide + licorice extract,5% + 8% + 10%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['vitamin c  niacinamide  licorice extract'],vitamin c  niacinamide  licorice extract
19-24,Dry,Extreme Dry,Yes,Open Pores,General,salicylic acid + azelaic acid + niacinamide,10% + 3% + 5%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum",['salicylic acid  azelaic acid  niacinamide'],salicylic acid  azelaic acid  niacinamide
19-24,Dry,Extreme Dry,Yes,Redness,General,niacinamide + chamomile extract + aloe vera,5% + 3% + 2%,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes and hydrates irritated skin",['niacinamide  chamomile extract  aloe vera'],niacinamide  chamomile extract  aloe vera
19-24,Dry,Extreme Dry,Yes,Sun Tan,General,aloe vera + vitamin c + niacinamide,10% + 8% + 3%,"Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['aloe vera  vitamin c  niacinamide'],aloe vera  vitamin c  niacinamide
19-24,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,salicylic acid + zinc pca + willow bark extract,2% + 10% + 5%,"Unclogs pores and removes excess oil, Controls sebum production, Naturally exfoliates and clears pores",['salicylic acid  zinc pca  willow bark extract'],salicylic acid  zinc pca  willow bark extract
19-24,Dry,Extreme Dry,Yes,Wrinkles,General,coenzyme q10 + hyaluronic acid + retinol,10% + 8% + 1%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles",['coenzyme q  hyaluronic acid  retinol'],coenzyme q  hyaluronic acid  retinol
19-24,Dry,Extreme Dry,No,Acne,Comedonal,zinc pca + azelaic acid + benzoyl peroxide,8% + 2% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria",['zinc pca  azelaic acid  benzoyl peroxide'],zinc pca  azelaic acid  benzoyl peroxide
19-24,Dry,Extreme Dry,No,Acne,Inflammatory,niacinamide + azelaic acid + salicylic acid,10% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['niacinamide  azelaic acid  salicylic acid'],niacinamide  azelaic acid  salicylic acid
19-24,Dry,Extreme Dry,No,Acne,Nodular,niacinamide + zinc pca + salicylic acid,8% + 1% + 10%,"Reduces inflammation and regulates sebum, Controls sebum production, Unclogs pores and removes excess oil",['niacinamide  zinc pca  salicylic acid'],niacinamide  zinc pca  salicylic acid
19-24,Dry,Extreme Dry,No,Acne,Cystic,niacinamide + azelaic acid + zinc pca,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production",['niacinamide  azelaic acid  zinc pca'],niacinamide  azelaic acid  zinc pca
19-24,Dry,Extreme Dry,No,Dark Circles,Pigmented,niacinamide + licorice extract + vitamin k,2% + 10% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes",['niacinamide  licorice extract  vitamin k'],niacinamide  licorice extract  vitamin k
19-24,Dry,Extreme Dry,No,Dark Circles,Vascular,vitamin c + hyaluronic acid + vitamin k,0.5% + 3% + 10%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes",['vitamin c  hyaluronic acid  vitamin k'],vitamin c  hyaluronic acid  vitamin k
19-24,Dry,Extreme Dry,No,Dark Spots,General,licorice extract + alpha arbutin + niacinamide,5% + 2% + 0.5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum",['licorice extract  alpha arbutin  niacinamide'],licorice extract  alpha arbutin  niacinamide
19-24,Dry,Extreme Dry,No,Dullness,General,lactic acid + vitamin c + hyaluronic acid,1% + 0.5% + 10%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin",['lactic acid  vitamin c  hyaluronic acid'],lactic acid  vitamin c  hyaluronic acid
19-24,Dry,Extreme Dry,No,Hyperpigmentation,General,alpha arbutin + tranexamic acid + niacinamide,0.5% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum",['alpha arbutin  tranexamic acid  niacinamide'],alpha arbutin  tranexamic acid  niacinamide
19-24,Dry,Extreme Dry,No,Open Pores,General,niacinamide + azelaic acid + salicylic acid,2% + 5% + 1%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['niacinamide  azelaic acid  salicylic acid'],niacinamide  azelaic acid  salicylic acid
19-24,Dry,Extreme Dry,No,Redness,General,centella asiatica + green tea extract + niacinamide,0.5% + 8% + 3%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['centella asiatica  green tea extract  niacinamide'],centella asiatica  green tea extract  niacinamide
19-24,Dry,Extreme Dry,No,Sun Tan,General,niacinamide + licorice extract + vitamin c,8% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['niacinamide  licorice extract  vitamin c'],niacinamide  licorice extract  vitamin c
19-24,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,zinc pca + niacinamide + salicylic acid,5% + 8% + 10%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['zinc pca  niacinamide  salicylic acid'],zinc pca  niacinamide  salicylic acid
19-24,Dry,Extreme Dry,No,Wrinkles,General,peptides + retinol + niacinamide,0.5% + 3% + 1%,"Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum",['peptides  retinol  niacinamide'],peptides  retinol  niacinamide
19-24,Oily,Oily to Normal,Yes,Acne,Comedonal,azelaic acid + niacinamide + zinc pca,2% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production",['azelaic acid  niacinamide  zinc pca'],azelaic acid  niacinamide  zinc pca
19-24,Oily,Oily to Normal,Yes,Acne,Inflammatory,azelaic acid + green tea extract + zinc pca,5% + 0.5% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production",['azelaic acid  green tea extract  zinc pca'],azelaic acid  green tea extract  zinc pca
19-24,Oily,Oily to Normal,Yes,Acne,Nodular,niacinamide + salicylic acid + benzoyl peroxide,10% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria",['niacinamide  salicylic acid  benzoyl peroxide'],niacinamide  salicylic acid  benzoyl peroxide
19-24,Oily,Oily to Normal,Yes,Acne,Cystic,zinc pca + niacinamide + salicylic acid,3% + 5% + 8%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['zinc pca  niacinamide  salicylic acid'],zinc pca  niacinamide  salicylic acid
19-24,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,vitamin c + hyaluronic acid + vitamin k,10% + 1% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes",['vitamin c  hyaluronic acid  vitamin k'],vitamin c  hyaluronic acid  vitamin k
19-24,Oily,Oily to Normal,Yes,Dark Circles,Vascular,vitamin c + licorice extract + niacinamide,3% + 2% + 10%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['vitamin c  licorice extract  niacinamide'],vitamin c  licorice extract  niacinamide
19-24,Oily,Oily to Normal,Yes,Dark Spots,General,kojic acid + vitamin c + niacinamide,3% + 10% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['kojic acid  vitamin c  niacinamide'],kojic acid  vitamin c  niacinamide
19-24,Oily,Oily to Normal,Yes,Dullness,General,vitamin c + hyaluronic acid + niacinamide,1% + 10% + 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['vitamin c  hyaluronic acid  niacinamide'],vitamin c  hyaluronic acid  niacinamide
19-24,Oily,Oily to Normal,Yes,Hyperpigmentation,General,alpha arbutin + vitamin c + niacinamide,0.5% + 5% + 2%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['alpha arbutin  vitamin c  niacinamide'],alpha arbutin  vitamin c  niacinamide
19-24,Oily,Oily to Normal,Yes,Open Pores,General,niacinamide + clay + azelaic acid,10% + 5% + 3%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture",['niacinamide  clay  azelaic acid'],niacinamide  clay  azelaic acid
19-24,Oily,Oily to Normal,Yes,Redness,General,centella asiatica + niacinamide + chamomile extract,10% + 5% + 2%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Calms redness and irritation",['centella asiatica  niacinamide  chamomile extract'],centella asiatica  niacinamide  chamomile extract
19-24,Oily,Oily to Normal,Yes,Sun Tan,General,licorice extract + vitamin c + niacinamide,2% + 3% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['licorice extract  vitamin c  niacinamide'],licorice extract  vitamin c  niacinamide
19-24,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,willow bark extract + salicylic acid + niacinamide,1% + 0.5% + 5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['willow bark extract  salicylic acid  niacinamide'],willow bark extract  salicylic acid  niacinamide
19-24,Oily,Oily to Normal,Yes,Wrinkles,General,peptides + hyaluronic acid + coenzyme q10,3% + 8% + 1%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair",['peptides  hyaluronic acid  coenzyme q'],peptides  hyaluronic acid  coenzyme q
19-24,Oily,Oily to Normal,No,Acne,Comedonal,azelaic acid + benzoyl peroxide + salicylic acid,10% + 2% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['azelaic acid  benzoyl peroxide  salicylic acid'],azelaic acid  benzoyl peroxide  salicylic acid
19-24,Oily,Oily to Normal,No,Acne,Inflammatory,benzoyl peroxide + azelaic acid + green tea extract,3% + 2% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits",['benzoyl peroxide  azelaic acid  green tea extract'],benzoyl peroxide  azelaic acid  green tea extract
19-24,Oily,Oily to Normal,No,Acne,Nodular,azelaic acid + niacinamide + zinc pca,2% + 5% + 0.5%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production",['azelaic acid  niacinamide  zinc pca'],azelaic acid  niacinamide  zinc pca
19-24,Oily,Oily to Normal,No,Acne,Cystic,azelaic acid + green tea extract + niacinamide,0.5% + 1% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['azelaic acid  green tea extract  niacinamide'],azelaic acid  green tea extract  niacinamide
19-24,Oily,Oily to Normal,No,Dark Circles,Pigmented,caffeine + hyaluronic acid + vitamin c,2% + 5% + 1%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Brightens skin and reduces pigmentation",['caffeine  hyaluronic acid  vitamin c'],caffeine  hyaluronic acid  vitamin c
19-24,Oily,Oily to Normal,No,Dark Circles,Vascular,caffeine + licorice extract + vitamin c,0.5% + 1% + 3%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['caffeine  licorice extract  vitamin c'],caffeine  licorice extract  vitamin c
19-24,Oily,Oily to Normal,No,Dark Spots,General,alpha arbutin + kojic acid + licorice extract,5% + 3% + 8%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone",['alpha arbutin  kojic acid  licorice extract'],alpha arbutin  kojic acid  licorice extract
19-24,Oily,Oily to Normal,No,Dullness,General,green tea extract + niacinamide + vitamin c,3% + 5% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['green tea extract  niacinamide  vitamin c'],green tea extract  niacinamide  vitamin c
19-24,Oily,Oily to Normal,No,Hyperpigmentation,General,niacinamide + tranexamic acid + licorice extract,3% + 8% + 10%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone",['niacinamide  tranexamic acid  licorice extract'],niacinamide  tranexamic acid  licorice extract
19-24,Oily,Oily to Normal,No,Open Pores,General,clay + green tea extract + niacinamide,2% + 0.5% + 5%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['clay  green tea extract  niacinamide'],clay  green tea extract  niacinamide
19-24,Oily,Oily to Normal,No,Redness,General,green tea extract + centella asiatica + chamomile extract,5% + 8% + 3%,"Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier, Calms redness and irritation",['green tea extract  centella asiatica  chamomile extract'],green tea extract  centella asiatica  chamomile extract
19-24,Oily,Oily to Normal,No,Sun Tan,General,licorice extract + alpha arbutin + vitamin c,1% + 0.5% + 2%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation",['licorice extract  alpha arbutin  vitamin c'],licorice extract  alpha arbutin  vitamin c
19-24,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,niacinamide + salicylic acid + glycolic acid,0.5% + 8% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin",['niacinamide  salicylic acid  glycolic acid'],niacinamide  salicylic acid  glycolic acid
19-24,Oily,Oily to Normal,No,Wrinkles,General,niacinamide + hyaluronic acid + coenzyme q10,0.5% + 3% + 8%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair",['niacinamide  hyaluronic acid  coenzyme q'],niacinamide  hyaluronic acid  coenzyme q
19-24,Oily,Extreme Oily,Yes,Acne,Comedonal,salicylic acid + zinc pca + azelaic acid,2% + 5% + 0.5%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture",['salicylic acid  zinc pca  azelaic acid'],salicylic acid  zinc pca  azelaic acid
19-24,Oily,Extreme Oily,Yes,Acne,Inflammatory,azelaic acid + benzoyl peroxide + green tea extract,0.5% + 2% + 5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['azelaic acid  benzoyl peroxide  green tea extract'],azelaic acid  benzoyl peroxide  green tea extract
19-24,Oily,Extreme Oily,Yes,Acne,Nodular,green tea extract + niacinamide + zinc pca,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Controls sebum production",['green tea extract  niacinamide  zinc pca'],green tea extract  niacinamide  zinc pca
19-24,Oily,Extreme Oily,Yes,Acne,Cystic,zinc pca + azelaic acid + green tea extract,3% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits",['zinc pca  azelaic acid  green tea extract'],zinc pca  azelaic acid  green tea extract
19-24,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,vitamin k + hyaluronic acid + licorice extract,3% + 5% + 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone",['vitamin k  hyaluronic acid  licorice extract'],vitamin k  hyaluronic acid  licorice extract
19-24,Oily,Extreme Oily,Yes,Dark Circles,Vascular,licorice extract + caffeine + hyaluronic acid,3% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin",['licorice extract  caffeine  hyaluronic acid'],licorice extract  caffeine  hyaluronic acid
19-24,Oily,Extreme Oily,Yes,Dark Spots,General,kojic acid + vitamin c + niacinamide,2% + 1% + 10%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['kojic acid  vitamin c  niacinamide'],kojic acid  vitamin c  niacinamide
19-24,Oily,Extreme Oily,Yes,Dullness,General,niacinamide + lactic acid + green tea extract,1% + 8% + 5%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits",['niacinamide  lactic acid  green tea extract'],niacinamide  lactic acid  green tea extract
19-24,Oily,Extreme Oily,Yes,Hyperpigmentation,General,alpha arbutin + niacinamide + vitamin c,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['alpha arbutin  niacinamide  vitamin c'],alpha arbutin  niacinamide  vitamin c
19-24,Oily,Extreme Oily,Yes,Open Pores,General,azelaic acid + niacinamide + salicylic acid,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['azelaic acid  niacinamide  salicylic acid'],azelaic acid  niacinamide  salicylic acid
19-24,Oily,Extreme Oily,Yes,Redness,General,chamomile extract + niacinamide + green tea extract,10% + 1% + 0.5%,"Calms redness and irritation, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits",['chamomile extract  niacinamide  green tea extract'],chamomile extract  niacinamide  green tea extract
19-24,Oily,Extreme Oily,Yes,Sun Tan,General,aloe vera + alpha arbutin + vitamin c,8% + 3% + 10%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation",['aloe vera  alpha arbutin  vitamin c'],aloe vera  alpha arbutin  vitamin c
19-24,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,salicylic acid + glycolic acid + zinc pca,2% + 10% + 8%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Controls sebum production",['salicylic acid  glycolic acid  zinc pca'],salicylic acid  glycolic acid  zinc pca
19-24,Oily,Extreme Oily,Yes,Wrinkles,General,retinol + niacinamide + peptides,3% + 1% + 2%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness",['retinol  niacinamide  peptides'],retinol  niacinamide  peptides
19-24,Oily,Extreme Oily,No,Acne,Comedonal,benzoyl peroxide + salicylic acid + niacinamide,10% + 1% + 0.5%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['benzoyl peroxide  salicylic acid  niacinamide'],benzoyl peroxide  salicylic acid  niacinamide
19-24,Oily,Extreme Oily,No,Acne,Inflammatory,azelaic acid + salicylic acid + benzoyl peroxide,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria",['azelaic acid  salicylic acid  benzoyl peroxide'],azelaic acid  salicylic acid  benzoyl peroxide
19-24,Oily,Extreme Oily,No,Acne,Nodular,benzoyl peroxide + azelaic acid + niacinamide,8% + 10% + 2%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum",['benzoyl peroxide  azelaic acid  niacinamide'],benzoyl peroxide  azelaic acid  niacinamide
19-24,Oily,Extreme Oily,No,Acne,Cystic,salicylic acid + niacinamide + azelaic acid,8% + 3% + 0.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['salicylic acid  niacinamide  azelaic acid'],salicylic acid  niacinamide  azelaic acid
19-24,Oily,Extreme Oily,No,Dark Circles,Pigmented,hyaluronic acid + niacinamide + licorice extract,10% + 1% + 0.5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['hyaluronic acid  niacinamide  licorice extract'],hyaluronic acid  niacinamide  licorice extract
19-24,Oily,Extreme Oily,No,Dark Circles,Vascular,vitamin c + niacinamide + hyaluronic acid,3% + 2% + 8%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['vitamin c  niacinamide  hyaluronic acid'],vitamin c  niacinamide  hyaluronic acid
19-24,Oily,Extreme Oily,No,Dark Spots,General,vitamin c + alpha arbutin + niacinamide,8% + 2% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum",['vitamin c  alpha arbutin  niacinamide'],vitamin c  alpha arbutin  niacinamide
19-24,Oily,Extreme Oily,No,Dullness,General,hyaluronic acid + green tea extract + lactic acid,10% + 1% + 2%,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance",['hyaluronic acid  green tea extract  lactic acid'],hyaluronic acid  green tea extract  lactic acid
19-24,Oily,Extreme Oily,No,Hyperpigmentation,General,vitamin c + niacinamide + tranexamic acid,8% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation",['vitamin c  niacinamide  tranexamic acid'],vitamin c  niacinamide  tranexamic acid
19-24,Oily,Extreme Oily,No,Open Pores,General,clay + green tea extract + salicylic acid,2% + 3% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['clay  green tea extract  salicylic acid'],clay  green tea extract  salicylic acid
19-24,Oily,Extreme Oily,No,Redness,General,aloe vera + chamomile extract + niacinamide,0.5% + 2% + 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum",['aloe vera  chamomile extract  niacinamide'],aloe vera  chamomile extract  niacinamide
19-24,Oily,Extreme Oily,No,Sun Tan,General,niacinamide + alpha arbutin + licorice extract,8% + 2% + 1%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone",['niacinamide  alpha arbutin  licorice extract'],niacinamide  alpha arbutin  licorice extract
19-24,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,zinc pca + salicylic acid + willow bark extract,10% + 2% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores",['zinc pca  salicylic acid  willow bark extract'],zinc pca  salicylic acid  willow bark extract
